"","record.id","site.id","read.date","time","volunteer.name","water.depth","water.temp","air.temp","water.transparency","ph","salinity","oxygen"
"1",1,"Bay","1/3/1994","11:00","Not Recorded",0.4,5.9,8,0.4,7.3,1.3,11.7
"2",2,"Bay","1/31/1994","11:30","Not Recorded",0.35,3,2.6,0.2,7.4,1.5,12
"3",3,"Bay","2/7/1994","9:45","Not Recorded",0.6,5.9,7.6,0.25,7.2,1,10.5
"4",4,"Bay","2/23/1994","N/A","Not Recorded",0.5,10,2.7,0.35,7.4,1,10.1
"5",5,"Bay","2/28/1994","10:30","Not Recorded",0.4,1.6,0,0.2,7.2,1,12.6
"6",6,"Bay","3/7/1994","10:00","Not Recorded",0.9,9.7,15.2,0.2,7.1,1,9.9
"7",7,"Bay","3/14/1994","11:00","Not Recorded",0.75,9.8,10.1,0.25,7.2,0.5,10.4
"8",8,"Bay","3/28/1994","9:50","Not Recorded",0.95,16.1,22.1,0.15,7.1,1,9.2
"9",9,"Bay","4/4/1994","10:00","Not Recorded",0.75,15,13.5,0.25,7.2,1,9.2
"10",10,"Bay","4/11/1994","10:00","Not Recorded",0.75,15.7,13,0.2,7.3,1,8.6
"11",11,"Bay","4/18/1994","10:30","Not Recorded",0.7,17.5,16.6,0.2,7.6,1,8.8
"12",12,"Bay","4/25/1994","11:00","Not Recorded",0.5,19.3,22.1,0.2,7.9,1,10
"13",13,"Bay","5/2/1994","10:30","Not Recorded",0.65,16.1,13,0.2,7.5,1.3,9.8
"14",14,"Bay","5/9/1994","10:45","Not Recorded",0.75,18.8,19.5,0.25,7.9,1,10.1
"15",15,"Bay","5/16/1994","10:00","Not Recorded",0.8,22.1,22.3,0.25,7.8,1,8.2
"16",16,"Bay","5/23/1994","11:00","Not Recorded",0.05,21.7,24.3,0.05,9.1,1,10.8
"17",17,"Bay","5/30/1994","N/A","Not Recorded",0.8,22.3,22.7,0.35,8.5,1,8.7
"18",18,"Bay","6/6/1994","11:00","Not Recorded",0.8,23.8,25.7,0.35,8.6,1,9.4
"19",19,"Bay","6/13/1994","10:45","Not Recorded",0.8,27.9,26.9,0.35,9,1.2,10.4
"20",20,"Bay","6/20/1994","10:15","Not Recorded",0.7,29.5,30.5,0.35,9,1.5,9.8
"21",21,"Bay","6/27/1994","10:15","Not Recorded",1.2,25.5,27.9,0.25,8.1,1.5,7.3
"22",22,"Bay","7/3/1994","10:40","Not Recorded",0.9,28.5,28,0.4,9,2,10.7
"23",23,"Bay","6/25/1994","10:30","Not Recorded",0.9,30.5,28.5,0.5,9.4,2,11
"24",24,"Bay","8/1/1994","N/A","Not Recorded",0.75,29,25.5,0.45,9.2,2,10.7
"25",25,"Bay","8/8/1994","10:30","Not Recorded",0.55,22,21.5,0.4,9.2,2,10.2
"26",26,"Bay","8/15/1994","10:30","Not Recorded",0.9,24.5,20,0.45,8.8,2.3,6.9
